Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
I135 ,0.0358558
I136 ,0.0212141
I136m ,0.0211697
I137 ,0.0368934
I138 ,0.0181872
I139 ,0.00756648
I140 ,0.00147342
I141 ,0.000241877
I142 ,0.00001561
I143 ,0.000000293775
I144 ,0.0000000343376
I145 ,5.3525E-11
I146 ,1.71533E-12
I147 ,2.93979E-13
Xe124 ,0
Xe125 ,0
Xe125m ,0
Xe126 ,0
Xe127 ,0
Xe127m ,0
Xe128 ,0
Xe129 ,0
Xe129m ,0
Xe130 ,8.68E-11
Xe131 ,0.00000000236
Xe131m ,0.00000000577
Xe132 ,0.00000071
Xe133 ,0.00000599
Xe133m ,0.00001468
Xe134 ,0.00009385
Xe134m ,0.00021899
Xe135 ,0.00224053
Xe135m ,0.00548022
Xe136 ,0.0107779
Xe137 ,0.0221441
Xe138 ,0.038841
Xe139 ,0.0370456
Xe140 ,0.0279421
Xe141 ,0.0113323
Xe142 ,0.00316033
Xe143 ,0.000261308
Xe143m ,0.000261308
Xe144 ,0.0000610857
Xe145 ,0.00000253995
Xe146 ,0.0000000813983
Xe147 ,0.0000000139503
Xe148 ,1.27E-11
Xe149 ,2.66522E-13
Xe150 ,0
Cs127 ,0
Cs129 ,0
Cs131 ,1.21E-13
Cs132 ,3.46E-11
Cs133 ,0.00000000528
Cs134 ,0.000000127
Cs134m ,0.000000127
Cs135 ,0.000004445
Cs135m ,0.000004445
Cs136 ,0.00006136
Cs136m ,0.00006136
Cs137 ,0.00112189
Cs138 ,0.00239521
Cs138m ,0.00240616
Cs139 ,0.016878
Cs140 ,0.0282643
Cs141 ,0.0402612
Cs142 ,0.0260841
Cs143 ,0.0171999
Cs144 ,0.00524639
Cs145 ,0.0009925599
Cs146 ,0.00009297
Cs147 ,0.0000166132
Cs148 ,0.000000206
Cs149 ,0.00000000846643
Cs150 ,4.75E-11
Cs151 ,4.46614E-13
Cs152 ,5.01533E-15
Ba129 ,0
Ba131 ,0
Ba132 ,0
Ba133 ,3.86E-14
Ba134 ,9.9E-12
Ba135 ,5.45E-10
Ba135m ,5.45E-10
Ba136 ,0.0000000378
Ba136m ,0.0000000378
Ba137 ,0.000000608
Ba137m ,0.00000149
Ba138 ,0.00004012
Ba139 ,0.00037236
Ba140 ,0.00252227
Ba141 ,0.00826079
Ba142 ,0.0194607
Ba143 ,0.028409
Ba144 ,0.0317843
Ba145 ,0.0148075
Ba146 ,0.00587759
Ba147 ,0.00127832
Ba148 ,0.00016263
Ba149 ,0.0000150615
Ba150 ,0.000000505
Ba151 ,0.0000000211934
Ba152 ,2.37995E-10
Ba153 ,1.04824E-12
Ba154 ,0
La133 ,0
La135 ,0
La137 ,1.93E-10
La138 ,0.0000000108
La139 ,0.000000467
La140 ,0.00000899
La141 ,0.00012332
La142 ,0.00075067
La143 ,0.00433196
La144 ,0.011095
La145 ,0.0190363
La146 ,0.00865752
La146m ,0.00865752
La147 ,0.0143715
La148 ,0.00459434
La149 ,0.00180365
La150 ,0.0001657
La151 ,0.0000252388
La152 ,0.000001
La153 ,0.000000033299
La154 ,5.07E-10
La155 ,1.45192E-12
La156 ,5.79503E-14
La157 ,6.49043E-16
Ce135 ,0
Ce137 ,0
Ce138 ,1.36E-13
Ce139 ,5.06E-12
Ce139m ,1.24E-11
Ce140 ,0.0000000016
Ce141 ,0.0000000617
Ce142 ,0.0000018
Ce143 ,0.00002742
Ce144 ,0.00030215
Ce145 ,0.00133759
Ce146 ,0.00476643
Ce147 ,0.0088712
Ce148 ,0.0104434
Ce149 ,0.00933294
Ce150 ,0.00332959
Ce151 ,0.00129435
Ce152 ,0.00021569
Ce153 ,0.00001933
Ce154 ,0.00000132
Ce155 ,0.0000000688986
Ce156 ,0.00000000274994
Ce157 ,3.07994E-11
Ce158 ,3.44E-13
Ce159 ,4.59591E-16
