Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se75 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se76 ; 2.97E-14 ; 1.9008E-14 ; 3.42E-13 ; 2.1888E-13 ; 3.56E-13 ; 2.2784E-13
Se77 ; 1.1E-12 ; 7.04E-13 ; 4.41E-12 ; 2.8224E-12 ; 2.26E-11 ; 1.4464E-11
Se77m ; 7.38E-12 ; 4.7232E-12 ; 3.23E-11 ; 2.0672E-11 ; 1.51E-10 ; 9.664E-11
Se78 ; 5.85E-10 ; 3.744E-10 ; 1.81E-9 ; 1.1584E-9 ; 7.3E-9 ; 4.672E-9
Se79 ; 9.63E-9 ; 6.1632E-9 ; 5.94E-8 ; 3.8016E-8 ; 1.33E-7 ; 8.512E-8
Se79m ; 1.44E-9 ; 9.216E-10 ; 8.09E-9 ; 5.1776E-9 ; 1.99E-8 ; 1.2736E-8
Se80 ; 3.26E-7 ; 2.0864E-7 ; 1.11E-6 ; 7.104E-7 ; 1.99E-6 ; 1.2736E-6
Se81 ; 6.47E-7 ; 4.1408E-7 ; 1.53E-6 ; 9.792E-7 ; 2.31E-6 ; 1.4784E-6
