Product ; Th227  Thermal (0.0253 eV) ; Th227  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th232  Fast (500 keV) ; Th232  Fast (500 keV) ; Th232  High (14 MeV) ; Th232  High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ga73 ; 4.27E-8 ; 2.7328E-8 ; 3.66002E-8 ; 2.34241E-8 ; 9.22979E-9 ; 5.90707E-9 ; 4.41E-7 ; 2.8224E-7
Ga74 ; 1.285E-7 ; 8.22401E-8 ; 1.82001E-7 ; 1.16481E-7 ; 6.09986E-8 ; 3.90391E-8 ; 2.595E-6 ; 1.6608E-6
Ga74m ; 1.285E-7 ; 8.22401E-8 ; 1.82001E-7 ; 1.16481E-7 ; 6.09986E-8 ; 3.90391E-8 ; 2.595E-6 ; 1.6608E-6
Ga75 ; 2.81E-6 ; 1.7984E-6 ; 5.03003E-6 ; 3.21922E-6 ; 1.60996E-6 ; 1.03038E-6 ; 3.997E-5 ; 2.55808E-5
Ga76 ; 8.51001E-6 ; 5.4464E-6 ; 2.56801E-5 ; 1.64353E-5 ; 1.10398E-5 ; 7.06544E-6 ; 2.0345E-4 ; 1.30208E-4
Ga77 ; 4.343E-5 ; 2.77952E-5 ; 1.62241E-4 ; 1.03834E-4 ; 4.74689E-5 ; 3.03801E-5 ; 5.8056E-4 ; 3.71558E-4
Ga78 ; 4.486E-5 ; 2.87104E-5 ; 6.80854E-4 ; 4.35746E-4 ; 1.94576E-4 ; 1.24528E-4 ; 0.0014646 ; 9.37344E-4
Ga79 ; 4.0211E-4 ; 2.57351E-4 ; 7.36684E-4 ; 4.71478E-4 ; 4.324E-4 ; 2.76736E-4 ; 0.0022058 ; 0.00141171
Ga80 ; 1.8272E-4 ; 1.16941E-4 ; 3.38462E-4 ; 2.16616E-4 ; 5.80267E-4 ; 3.71371E-4 ; 0.0023226 ; 0.00148646
Ga81 ; 6.76101E-5 ; 4.32704E-5 ; 2.75971E-4 ; 1.76622E-4 ; 6.57445E-4 ; 4.20765E-4 ; 0.00162118 ; 0.00103756
Ga82 ; 4.44E-6 ; 2.8416E-6 ; 5.92403E-5 ; 3.79138E-5 ; 3.22263E-4 ; 2.06248E-4 ; 6.7085E-4 ; 4.29344E-4
Ga83 ; 2.32E-7 ; 1.4848E-7 ; 2.42001E-6 ; 1.54881E-6 ; 1.06668E-4 ; 6.82673E-5 ; 1.8346E-4 ; 1.17414E-4
Ga84 ; 3.4E-9 ; 2.176E-9 ; 2.76001E-7 ; 1.76641E-7 ; 1.30097E-5 ; 8.32621E-6 ; 1.846E-5 ; 1.18144E-5
Ga85 ; 9.41992E-11 ; 6.02875E-11 ; 1.08997E-8 ; 6.9758E-9 ; 9.24964E-7 ; 5.91977E-7 ; 9.49796E-6 ; 6.07869E-6
Ga86 ; 5.76E-13 ; 3.6864E-13 ; 2.07001E-10 ; 1.32481E-10 ; 3.17993E-8 ; 2.03515E-8 ; 4.76E-7 ; 3.0464E-7
Ga87 ; 1.10317E-14 ; 7.0603E-15 ; 2.07868E-12 ; 1.33036E-12 ; 2.98788E-9 ; 1.91224E-9 ; 4.4484E-8 ; 2.84698E-8
Ga88 ;  ;  ; 2.04737E-14 ; 1.31032E-14 ; 3.228E-12 ; 2.06592E-12 ; 2.14295E-10 ; 1.37149E-10
Ga89 ;  ;  ;  ;  ; 1.85516E-13 ; 1.1873E-13 ; 3.65519E-11 ; 2.33932E-11
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge71 ; 3.13E-14 ; 2.0032E-14 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.32E-13 ; 8.448E-14
Ge71m ; 3.13E-14 ; 2.0032E-14 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.32E-13 ; 8.448E-14
Ge72 ; 1.35E-11 ; 8.64001E-12 ; 4.41002E-12 ; 2.82241E-12 ; 6.53985E-14 ; 4.18551E-14 ; 1.46E-11 ; 9.344E-12
Ge73 ; 2.94E-10 ; 1.8816E-10 ; 2.47001E-10 ; 1.58081E-10 ; 4.11991E-12 ; 2.63674E-12 ; 6.61E-10 ; 4.2304E-10
Ge73m ; 6.89001E-11 ; 4.4096E-11 ; 5.80003E-11 ; 3.71202E-11 ; 8.42981E-13 ; 5.39508E-13 ; 8.17E-11 ; 5.2288E-11
Ge74 ; 1.51E-8 ; 9.66401E-9 ; 1.72001E-8 ; 1.10081E-8 ; 2.32995E-10 ; 1.49117E-10 ; 2.36E-8 ; 1.5104E-8
Ge75 ; 4.58E-8 ; 2.9312E-8 ; 6.45003E-8 ; 4.12802E-8 ; 1.12997E-9 ; 7.23184E-10 ; 4.14E-8 ; 2.6496E-8
Ge75m ; 3.07E-7 ; 1.9648E-7 ; 4.32002E-7 ; 2.76481E-7 ; 8.26981E-9 ; 5.29268E-9 ; 4.76E-7 ; 3.0464E-7
Ge76 ; 6.15001E-6 ; 3.936E-6 ; 1.26101E-5 ; 8.07044E-6 ; 2.60994E-7 ; 1.67036E-7 ; 7.47E-6 ; 4.7808E-6
Ge77 ; 5.017E-5 ; 3.21088E-5 ; 1.28311E-4 ; 8.21188E-5 ; 2.73994E-6 ; 1.75356E-6 ; 5.417E-5 ; 3.46688E-5
